date,campaign,spend,impressions,clicks,purchases,revenue,roas
2026-01-13,Lookalike 5%,674.64,69926,4506,25,3317.38,4.92
2026-01-13,Spring Promo,5415.85,218415,2957,22,1771.18,0.33
2026-01-13,Creators Campaign,4569.42,119888,679,20,2592.02,0.57
2026-01-14,UGC Prospecting,1498.87,162200,2184,45,3889.81,2.6
2026-01-14,Retargeting - Cart,1394.45,31715,6432,121,20327.31,14.58
2026-01-14,Lookalike 5%,979.55,141251,7162,60,7485.19,7.64
2026-01-14,Spring Promo,2793.34,166633,7398,137,20469.64,7.33
2026-01-14,Creators Campaign,954.14,246721,2192,49,3880.24,4.07
2026-01-15,UGC Prospecting,4383.17,56511,5392,108,16670.46,3.8
2026-01-15,Retargeting - Cart,3975.29,216273,6143,101,10559.95,2.66
2026-01-15,Lookalike 5%,1132.79,216460,8287,22,2518.19,2.22
2026-01-15,Spring Promo,2287.14,155010,7209,13,2249.83,0.98
2026-01-15,Creators Campaign,4575.53,59752,3533,139,13324.31,2.91
2026-01-16,UGC Prospecting,1108.8,93465,1315,36,2817.48,2.54
2026-01-16,Retargeting - Cart,2678.36,233379,4095,128,7792.12,2.91
2026-01-16,Lookalike 5%,2732.3,236034,1393,50,5012.58,1.83
2026-01-16,Spring Promo,1433.46,158692,5605,124,11183.11,7.8
2026-01-16,Creators Campaign,2675.22,224660,7103,50,3569.93,1.33
2026-01-17,UGC Prospecting,1815.8,141384,5269,9,1463.12,0.81
2026-01-17,Retargeting - Cart,4006.35,40221,7442,114,8556.63,2.14
2026-01-17,Lookalike 5%,2294.24,117815,3114,85,9182.64,4
2026-01-17,Spring Promo,903.12,244533,2623,8,690.78,0.76
2026-01-17,Creators Campaign,2806.77,205378,6071,58,8368.64,2.98
2026-01-18,UGC Prospecting,2626.1,175125,2065,127,20729.1,7.89
2026-01-18,Retargeting - Cart,2277.58,43602,3662,24,2139.84,0.94
2026-01-18,Lookalike 5%,4854.05,206326,6573,52,6792.26,1.4
2026-01-18,Spring Promo,870.81,113356,8410,80,4637.5,5.33
2026-01-18,Creators Campaign,826.46,30151,2252,127,9207.69,11.14
2026-01-19,UGC Prospecting,3599.35,244826,8222,43,7398.56,2.06
2026-01-19,Retargeting - Cart,1599.71,98619,5300,108,12716.85,7.95
2026-01-19,Lookalike 5%,4144.24,240946,659,26,3988.58,0.96
2026-01-19,Spring Promo,2357.6,239633,7547,116,19587.13,8.31
2026-01-19,Creators Campaign,1436.99,89483,770,55,4357.12,3.03
2026-01-20,UGC Prospecting,3194.75,83913,1203,78,7230.83,2.26
2026-01-20,Retargeting - Cart,2844.3,30560,4625,62,4506.93,1.58
2026-01-20,Lookalike 5%,3441.87,77329,1496,107,7719.29,2.24
2026-01-20,Spring Promo,3327.12,52560,3725,117,19490.3,5.86
2026-01-20,Creators Campaign,3448.16,157969,8261,45,7975.46,2.31
2026-01-21,UGC Prospecting,1068.01,149664,884,10,1103.84,1.03
2026-01-21,Retargeting - Cart,980.45,90512,5066,102,12066.74,12.31
2026-01-21,Lookalike 5%,1499.66,60172,4396,25,1937.62,1.29
2026-01-21,Spring Promo,5165.15,51761,643,112,7146.14,1.38
2026-01-21,Creators Campaign,4161.73,208379,4009,62,6114.25,1.47
2026-01-22,UGC Prospecting,3073.68,52840,420,27,4412.14,1.44
2026-01-22,Retargeting - Cart,4136.54,79439,3914,75,9157.52,2.21
2026-01-22,Lookalike 5%,774.09,42685,5823,34,4079.02,5.27
2026-01-22,Spring Promo,2315.91,189277,2024,132,9644.54,4.16
2026-01-22,Creators Campaign,4417.03,82871,8018,52,4387.27,0.99
2026-01-23,UGC Prospecting,3238.12,114636,5702,42,2766.26,0.85
2026-01-23,Retargeting - Cart,1509.06,206823,7709,130,13809.1,9.15
2026-01-23,Lookalike 5%,858.5,184013,7110,29,4574.55,5.33
2026-01-23,Spring Promo,4037.01,56711,7613,40,2499.1,0.62
2026-01-23,Creators Campaign,1292.96,57944,8269,116,7332.75,5.67
2026-01-24,UGC Prospecting,5881.3,145488,8496,79,6935.61,1.18
2026-01-24,Retargeting - Cart,4657.87,229851,5991,5,358.13,0.08
2026-01-24,Lookalike 5%,1661.74,78233,2325,129,9391.96,5.65
2026-01-24,Spring Promo,4422.63,52089,2878,125,17623.98,3.98
2026-01-24,Creators Campaign,3987.38,238817,2621,43,3876.62,0.97
2026-01-25,UGC Prospecting,1724.92,150187,5237,126,10405.98,6.03
2026-01-25,Retargeting - Cart,3136.66,94369,3862,58,8568.53,2.73
2026-01-25,Lookalike 5%,2109.02,213356,8403,65,9648.65,4.57
2026-01-25,Spring Promo,5050.85,150691,5787,125,20911.12,4.14
2026-01-25,Creators Campaign,1901.55,117329,7258,53,9250.21,4.86
2026-01-26,UGC Prospecting,5564.12,183637,988,60,9145.86,1.64
2026-01-26,Retargeting - Cart,2352.42,205126,841,114,13581.73,5.77
2026-01-26,Lookalike 5%,5258.98,240857,4324,134,15933.14,3.03
2026-01-26,Spring Promo,3443.91,215133,6512,65,7029.53,2.04
2026-01-26,Creators Campaign,2201.64,42181,5899,29,3919.44,1.78
2026-01-27,UGC Prospecting,4429.06,147864,5635,84,9201.85,2.08
2026-01-27,Retargeting - Cart,5574.78,128823,4789,124,6940.13,1.24
2026-01-27,Lookalike 5%,2220.91,110425,6216,133,22077.3,9.94
2026-01-27,Spring Promo,1471.28,121389,2744,128,15152.01,10.3
2026-01-27,Creators Campaign,3706.13,67082,4824,127,7408.51,2
2026-01-28,UGC Prospecting,1865.18,155705,4208,78,9704.96,5.2
2026-01-28,Retargeting - Cart,2223.61,187345,8167,99,13660.3,6.14
2026-01-28,Lookalike 5%,2377.57,99759,1971,9,1046.42,0.44
2026-01-28,Spring Promo,3502.66,198098,1012,6,402.2,0.11
2026-01-28,Creators Campaign,3783.52,152927,2612,38,5768.58,1.52
2026-01-29,UGC Prospecting,4214.95,248878,8214,56,9500.12,2.25
2026-01-29,Retargeting - Cart,2270.58,232359,3713,16,1326.84,0.58
2026-01-29,Lookalike 5%,1639.94,92093,7395,59,4529.45,2.76
2026-01-29,Spring Promo,5873.04,225264,1881,58,8324.35,1.42
2026-01-29,Creators Campaign,4861.9,92122,5851,63,8529.17,1.75
2026-01-30,UGC Prospecting,2212.13,34239,5066,61,9105.97,4.12
2026-01-30,Retargeting - Cart,2700.41,222321,7375,11,837.56,0.31
2026-01-30,Lookalike 5%,866.79,247947,3890,59,10075.16,11.62
2026-01-30,Spring Promo,2255.7,53174,3624,109,9354.49,4.15
2026-01-30,Creators Campaign,5530.97,156238,3615,11,1379.9,0.25
2026-01-31,UGC Prospecting,2676.19,112803,3453,87,8981.2,3.36
2026-01-31,Retargeting - Cart,1343.29,78883,1701,79,7198.32,5.36
2026-01-31,Lookalike 5%,5803.94,87435,3039,71,6681.99,1.15
2026-01-31,Spring Promo,3228.94,168411,812,75,5353.45,1.66
2026-01-31,Creators Campaign,5587.13,170475,8376,12,1982.86,0.35
