date,description,amount,category
2025-12-05,Payroll - Warehouse Staff,-15679.0,Payroll
2025-12-05,Payroll - Marketing Team,-13169.0,Payroll
2025-12-05,Payroll - Customer Support,-11084.0,Payroll
2025-12-05,META ADS,-3285.0,Advertising
2025-12-05,Shopify Payout,24984.0,Revenue
2025-12-05,Payroll - Operations Team,-14554.0,Payroll
2025-12-06,Shopify Payout,39429.0,Revenue
2025-12-06,META ADS,-7671.0,Advertising
2025-12-06,UPS Shipping,-6634.0,Shipping
2025-12-07,Slack,-408.0,Software
2025-12-07,DHL Ecommerce,-2076.0,Shipping
2025-12-08,FedEx Freight,-5202.0,Shipping
2025-12-08,Owner Distribution,-80450.0,Owner Draw
2025-12-08,META ADS,-7831.0,Advertising
2025-12-08,Shopify Payout,41514.0,Revenue
2025-12-09,Shopify Payout,38784.0,Revenue
2025-12-09,META ADS,-8188.66,Advertising
2025-12-09,UPS Shipping,-3345.0,Shipping
2025-12-10,Shopify Payout,32014.0,Revenue
2025-12-10,META ADS,-7425.76,Advertising
2025-12-10,Notion,-91.0,Software
2025-12-11,Shopify Payout,32083.0,Revenue
2025-12-11,META ADS,-4725.0,Advertising
2025-12-12,Payroll - Marketing Team,-11032.0,Payroll
2025-12-12,Payroll - Customer Support,-23667.0,Payroll
2025-12-12,Payroll - Operations Team,-20779.0,Payroll
2025-12-12,Payroll - Warehouse Staff,-23735.0,Payroll
2025-12-12,META ADS,-4244.0,Advertising
2025-12-12,Shopify Payout,29724.0,Revenue
2025-12-12,FedEx Freight,-5786.0,Shipping
2025-12-13,META ADS,-8841.0,Advertising
2025-12-13,DHL Ecommerce,-2669.0,Shipping
2025-12-13,Shopify Payout,23324.0,Revenue
2025-12-14,IRS EFTPS TAX PAYMENT,-29485.0,Taxes
2025-12-14,DHL Ecommerce,-6687.0,Shipping
2025-12-15,Shopify Payout,85963.02,Revenue
2025-12-15,META ADS,-6055.0,Advertising
2025-12-15,Warehouse Lease & Utilities,-23000.0,Warehouse
2025-12-16,Shopify Payout,25457.0,Revenue
2025-12-16,META ADS,-7606.0,Advertising
2025-12-16,UPS Shipping,-8280.0,Shipping
2025-12-17,Shopify Payout,39020.0,Revenue
2025-12-17,META ADS,-7766.0,Advertising
2025-12-18,Shopify Payout,26559.0,Revenue
2025-12-18,META ADS,-9170.4,Advertising
2025-12-18,FedEx Freight,-7642.0,Shipping
2025-12-19,Payroll - Customer Support,-19753.0,Payroll
2025-12-19,Payroll - Marketing Team,-17321.0,Payroll
2025-12-19,Payroll - Operations Team,-21713.0,Payroll
2025-12-19,Payroll - Warehouse Staff,-20287.0,Payroll
2025-12-19,META ADS,-6923.0,Advertising
2025-12-19,Shopify Payout,21789.0,Revenue
2025-12-19,UPS Shipping,-4772.0,Shipping
2025-12-20,Shopify Payout,39975.0,Revenue
2025-12-20,META ADS,-12407.57,Advertising
2025-12-20,DHL Ecommerce,-3771.0,Shipping
2025-12-21,DHL Ecommerce,-3733.0,Shipping
2025-12-22,META ADS,-3771.0,Advertising
2025-12-22,Owner Distribution,-84166.0,Owner Draw
2025-12-22,Shopify Payout,27688.0,Revenue
2025-12-23,Shopify Payout,36648.0,Revenue
2025-12-23,META ADS,-6688.0,Advertising
2025-12-23,FedEx Freight,-2921.0,Shipping
2025-12-24,Shopify Payout,28559.0,Revenue
2025-12-24,META ADS,-5822.0,Advertising
2025-12-25,Shopify Payout,23560.0,Revenue
2025-12-25,META ADS,-4524.0,Advertising
2025-12-26,Payroll - Marketing Team,-22422.0,Payroll
2025-12-26,Payroll - Warehouse Staff,-9693.0,Payroll
2025-12-26,Payroll - Operations Team,-18515.0,Payroll
2025-12-26,Payroll - Customer Support,-21090.0,Payroll
2025-12-26,META ADS,-4040.0,Advertising
2025-12-26,Shopify Payout,25696.0,Revenue
2025-12-26,UPS Shipping,-1578.0,Shipping
2025-12-27,Shopify Payout,38636.0,Revenue
2025-12-27,META ADS,-8084.0,Advertising
2025-12-27,Customer Refund,-102.0,Refunds
2025-12-28,IRS EFTPS TAX PAYMENT,-39862.0,Taxes
2025-12-29,Shopify Payout,40803.0,Revenue
2025-12-29,META ADS,-2611.0,Advertising
2025-12-29,Customer Refund,-626.0,Refunds
2025-12-30,META ADS,-6778.0,Advertising
2025-12-30,Shopify Payout,39875.0,Revenue
2025-12-31,Shopify Payout,41569.0,Revenue
2025-12-31,META ADS,-5695.0,Advertising
2026-01-01,Shopify Payout,33554.0,Revenue
2026-01-01,META ADS,-8358.0,Advertising
2026-01-01,Warehouse Lease & Utilities,-26540.0,Warehouse
2026-01-02,Payroll - Warehouse Staff,-12288.0,Payroll
2026-01-02,Payroll - Customer Support,-10971.0,Payroll
2026-01-02,Figma,-18.0,Software
2026-01-02,Payroll - Marketing Team,-10767.0,Payroll
2026-01-02,FedEx Freight,-3951.0,Shipping
2026-01-02,META ADS,-2834.0,Advertising
2026-01-02,Shopify Payout,25839.0,Revenue
2026-01-02,Payroll - Operations Team,-9820.0,Payroll
2026-01-03,Shopify Payout,43169.25,Revenue
2026-01-03,META ADS,-6645.0,Advertising
2026-01-03,FedEx Freight,-8023.0,Shipping
2026-01-03,Shopify Plus,-2405.0,Software
2026-01-05,QuickBooks Online,-196.0,Software
2026-01-05,META ADS,-5632.0,Advertising
2026-01-05,Shopify Payout,30779.0,Revenue
2026-01-06,Shopify Payout,32281.0,Revenue
2026-01-06,META ADS,-5385.0,Advertising
2026-01-07,Shopify Payout,33315.0,Revenue
2026-01-07,META ADS,-7297.0,Advertising
2026-01-07,Shopify Plus,-2579.0,Software
2026-01-08,Owner Distribution,-49846.0,Owner Draw
2026-01-08,FedEx Freight,-3877.0,Shipping
2026-01-08,Shopify Payout,22446.0,Revenue
2026-01-08,META ADS,-6930.14,Advertising
2026-01-09,Shopify Payout,31813.0,Revenue
2026-01-09,META ADS,-2870.0,Advertising
2026-01-09,Customer Refund,-1513.0,Refunds
2026-01-09,Payroll - Operations Team,-12173.0,Payroll
2026-01-09,Payroll - Marketing Team,-19151.0,Payroll
2026-01-09,Payroll - Customer Support,-9624.0,Payroll
2026-01-09,Payroll - Warehouse Staff,-21299.0,Payroll
2026-01-10,Shopify Payout,19319.0,Revenue
2026-01-10,META ADS,-4225.0,Advertising
2026-01-10,UPS Shipping,-2448.0,Shipping
2026-01-10,Customer Refund,-548.0,Refunds
2026-01-10,QuickBooks Online,-201.0,Software
2026-01-11,Customer Refund,-549.0,Refunds
2026-01-12,Shopify Payout,23366.0,Revenue
2026-01-12,META ADS,-3085.0,Advertising
2026-01-13,META ADS,-8057.0,Advertising
2026-01-13,Shopify Payout,30298.0,Revenue
2026-01-14,Shopify Payout,40845.0,Revenue
2026-01-14,META ADS,-7805.0,Advertising
2026-01-14,UPS Shipping,-5836.0,Shipping
2026-01-14,IRS EFTPS TAX PAYMENT,-40074.0,Taxes
2026-01-15,Shopify Payout,20259.0,Revenue
2026-01-15,META ADS,-9590.69,Advertising
2026-01-15,Warehouse Lease & Utilities,-23934.0,Warehouse
2026-01-16,META ADS,-5767.0,Advertising
2026-01-16,Payroll - Warehouse Staff,-17317.0,Payroll
2026-01-16,Payroll - Customer Support,-23567.0,Payroll
2026-01-16,Shopify Payout,33064.0,Revenue
2026-01-16,Payroll - Operations Team,-18591.0,Payroll
2026-01-16,Payroll - Marketing Team,-21741.0,Payroll
2026-01-17,META ADS,-8188.0,Advertising
2026-01-17,Shopify Payout,33232.0,Revenue
2026-01-17,UPS Shipping,-3211.0,Shipping
2026-01-19,FedEx Freight,-3316.0,Shipping
2026-01-19,META ADS,-3689.0,Advertising
2026-01-19,Shopify Payout,60389.96,Revenue
2026-01-20,Shopify Payout,27052.0,Revenue
2026-01-20,META ADS,-6432.0,Advertising
2026-01-20,FedEx Freight,-7098.0,Shipping
2026-01-21,Shopify Payout,40629.0,Revenue
2026-01-21,META ADS,-8031.0,Advertising
2026-01-21,Customer Refund,-987.0,Refunds
2026-01-22,Shopify Payout,25972.0,Revenue
2026-01-22,META ADS,-6964.0,Advertising
2026-01-22,Owner Distribution,-73885.0,Owner Draw
2026-01-23,Payroll - Customer Support,-20987.0,Payroll
2026-01-23,Payroll - Marketing Team,-17279.0,Payroll
2026-01-23,Payroll - Operations Team,-20671.0,Payroll
2026-01-23,Payroll - Warehouse Staff,-19807.0,Payroll
2026-01-23,META ADS,-4419.0,Advertising
2026-01-23,Shopify Payout,29528.0,Revenue
2026-01-23,UPS Shipping,-7108.0,Shipping
2026-01-24,Shopify Payout,25090.0,Revenue
2026-01-24,META ADS,-4465.0,Advertising
2026-01-25,FedEx Freight,-2790.0,Shipping
2026-01-25,Customer Refund,-814.0,Refunds
2026-01-26,META ADS,-6912.98,Advertising
2026-01-26,DHL Ecommerce,-2234.0,Shipping
2026-01-26,Shopify Payout,41200.0,Revenue
2026-01-27,Shopify Payout,18401.0,Revenue
2026-01-27,META ADS,-6045.0,Advertising
2026-01-27,FedEx Freight,-1620.0,Shipping
2026-01-28,Shopify Payout,20141.0,Revenue
2026-01-28,META ADS,-2806.0,Advertising
2026-01-28,Customer Refund,-2385.0,Refunds
2026-01-28,IRS EFTPS TAX PAYMENT,-31912.0,Taxes
2026-01-29,Shopify Payout,52565.95,Revenue
2026-01-29,META ADS,-7166.0,Advertising
2026-01-30,Payroll - Customer Support,-20996.0,Payroll
2026-01-30,Payroll - Warehouse Staff,-11904.0,Payroll
2026-01-30,Payroll - Marketing Team,-10125.0,Payroll
2026-01-30,Payroll - Operations Team,-20625.0,Payroll
2026-01-30,UPS Shipping,-6287.0,Shipping
2026-01-30,META ADS,-7021.0,Advertising
2026-01-30,Shopify Payout,32507.0,Revenue
2026-01-31,Shopify Payout,26671.0,Revenue
2026-01-31,META ADS,-3486.0,Advertising
2026-01-31,Customer Refund,-1753.0,Refunds
2026-02-01,Warehouse Lease & Utilities,-21792.0,Warehouse
2026-02-02,QuickBooks Online,-212.0,Software
2026-02-02,DHL Ecommerce,-7681.0,Shipping
2026-02-02,Shopify Payout,27264.0,Revenue
2026-02-02,META ADS,-10260.14,Advertising
2026-02-03,Shopify Payout,25366.0,Revenue
2026-02-03,META ADS,-4376.0,Advertising
2026-02-03,FedEx Freight,-2559.0,Shipping
2026-02-03,Slack,-368.0,Software
2026-02-04,Shopify Payout,40566.0,Revenue
2026-02-04,META ADS,-5497.0,Advertising
2026-02-05,Shopify Plus,-2405.0,Software
2026-02-05,UPS Shipping,-1948.0,Shipping
2026-02-05,Shopify Payout,19306.0,Revenue
2026-02-05,META ADS,-8217.0,Advertising
2026-02-06,Shopify Payout,26831.0,Revenue
2026-02-06,META ADS,-8451.0,Advertising
2026-02-06,Payroll - Operations Team,-23508.0,Payroll
2026-02-06,Payroll - Marketing Team,-13057.0,Payroll
2026-02-06,Payroll - Customer Support,-11473.0,Payroll
2026-02-06,Payroll - Warehouse Staff,-18090.0,Payroll
2026-02-07,Shopify Payout,34112.0,Revenue
2026-02-07,META ADS,-6050.0,Advertising
2026-02-07,UPS Shipping,-6689.0,Shipping
2026-02-07,Notion,-135.0,Software
2026-02-08,Owner Distribution,-45612.0,Owner Draw
2026-02-08,DHL Ecommerce,-4480.0,Shipping
2026-02-08,Customer Refund,-440.0,Refunds
2026-02-09,Customer Refund,-2302.0,Refunds
2026-02-09,Shopify Payout,21798.0,Revenue
2026-02-09,META ADS,-5511.0,Advertising
2026-02-10,Shopify Payout,19776.0,Revenue
2026-02-10,META ADS,-5163.0,Advertising
2026-02-10,Shopify Plus,-2548.0,Software
2026-02-11,Shopify Payout,22293.0,Revenue
2026-02-11,META ADS,-5789.0,Advertising
2026-02-11,Customer Refund,-1060.0,Refunds
2026-02-12,UPS Shipping,-8092.0,Shipping
2026-02-12,META ADS,-6724.0,Advertising
2026-02-12,Shopify Payout,28182.0,Revenue
2026-02-13,Shopify Payout,23045.0,Revenue
2026-02-13,META ADS,-8070.0,Advertising
2026-02-13,Payroll - Operations Team,-16405.0,Payroll
2026-02-13,Payroll - Marketing Team,-16236.0,Payroll
2026-02-13,Payroll - Customer Support,-12493.0,Payroll
2026-02-13,Payroll - Warehouse Staff,-15983.0,Payroll
2026-02-14,IRS EFTPS TAX PAYMENT,-30104.0,Taxes
2026-02-14,Shopify Payout,30569.0,Revenue
2026-02-14,META ADS,-7110.0,Advertising
2026-02-15,Warehouse Lease & Utilities,-30905.0,Warehouse
2026-02-16,Shopify Payout,18084.0,Revenue
2026-02-16,META ADS,-4645.0,Advertising
2026-02-17,Shopify Payout,32632.0,Revenue
2026-02-17,META ADS,-5027.0,Advertising
2026-02-18,Shopify Payout,24181.0,Revenue
2026-02-18,META ADS,-4156.0,Advertising
2026-02-18,FedEx Freight,-7553.0,Shipping
2026-02-18,Customer Refund,-2017.0,Refunds
2026-02-19,META ADS,-7636.0,Advertising
2026-02-19,Shopify Payout,30492.0,Revenue
2026-02-19,Customer Refund,-231.0,Refunds
2026-02-20,Payroll - Marketing Team,-22769.0,Payroll
2026-02-20,Payroll - Warehouse Staff,-11029.0,Payroll
2026-02-20,Payroll - Operations Team,-15217.0,Payroll
2026-02-20,Payroll - Customer Support,-19227.0,Payroll
2026-02-20,FedEx Freight,-5508.0,Shipping
2026-02-20,META ADS,-3022.0,Advertising
2026-02-20,Customer Refund,-670.0,Refunds
2026-02-20,Shopify Payout,37339.0,Revenue
2026-02-21,Shopify Payout,26684.0,Revenue
2026-02-21,META ADS,-7874.0,Advertising
2026-02-21,DHL Ecommerce,-3891.0,Shipping
2026-02-22,FedEx Freight,-7087.0,Shipping
2026-02-22,Owner Distribution,-27352.0,Owner Draw
2026-02-23,Shopify Payout,25692.0,Revenue
2026-02-23,META ADS,-4554.0,Advertising
2026-02-24,Shopify Payout,38766.0,Revenue
2026-02-24,META ADS,-3023.0,Advertising
2026-02-25,Shopify Payout,19838.0,Revenue
2026-02-25,META ADS,-5270.0,Advertising
2026-02-25,DHL Ecommerce,-4575.0,Shipping
2026-02-26,META ADS,-7276.0,Advertising
2026-02-26,Shopify Payout,49766.6,Revenue
2026-02-27,Shopify Payout,38902.0,Revenue
2026-02-27,META ADS,-4291.0,Advertising
2026-02-27,Payroll - Operations Team,-13212.0,Payroll
2026-02-27,Payroll - Marketing Team,-19601.0,Payroll
2026-02-27,Payroll - Customer Support,-17455.0,Payroll
2026-02-27,Payroll - Warehouse Staff,-11088.0,Payroll
2026-02-28,META ADS,-4650.0,Advertising
2026-02-28,Shopify Payout,29323.0,Revenue
2026-02-28,FedEx Freight,-3248.0,Shipping
2026-02-28,IRS EFTPS TAX PAYMENT,-25055.0,Taxes
2026-03-01,Customer Refund,-1642.0,Refunds
2026-03-01,Warehouse Lease & Utilities,-27370.0,Warehouse
2026-03-02,DHL Ecommerce,-1266.0,Shipping
2026-03-02,Shopify Plus,-2445.0,Software
2026-03-02,Shopify Payout,27695.0,Revenue
2026-03-02,META ADS,-10760.11,Advertising
2026-03-03,UPS Shipping,-6415.0,Shipping
2026-03-03,Gorgias,-890.0,Software
2026-03-03,Shopify Payout,27378.0,Revenue
2026-03-03,META ADS,-4085.0,Advertising
2026-03-04,Shopify Payout,38560.0,Revenue
2026-03-04,META ADS,-4730.0,Advertising
2026-03-04,DHL Ecommerce,-4188.0,Shipping
2026-03-04,Customer Refund,-1288.0,Refunds
2026-03-05,META ADS,-3282.0,Advertising
2026-03-05,Slack,-438.0,Software
2026-03-05,Shopify Payout,31615.0,Revenue
2026-03-06,Payroll - Warehouse Staff,-22592.0,Payroll
2026-03-06,Shopify Payout,33789.0,Revenue
2026-03-06,META ADS,-4617.0,Advertising
2026-03-06,FedEx Freight,-2143.0,Shipping
2026-03-06,Payroll - Operations Team,-10806.0,Payroll
2026-03-06,Payroll - Marketing Team,-20856.0,Payroll
2026-03-06,Payroll - Customer Support,-12196.0,Payroll
2026-03-07,UPS Shipping,-4432.0,Shipping
2026-03-07,Klaviyo,-1784.0,Software
2026-03-07,Shopify Payout,40098.0,Revenue
2026-03-07,META ADS,-8791.0,Advertising
2026-03-08,Owner Distribution,-49970.0,Owner Draw
2026-03-09,Shopify Payout,47884.7,Revenue
2026-03-09,META ADS,-2405.0,Advertising
2026-03-10,Shopify Payout,80761.4,Revenue
2026-03-10,META ADS,-7943.0,Advertising
2026-03-10,UPS Shipping,-2345.0,Shipping
2026-03-10,Slack,-354.0,Software
2026-03-11,DHL Ecommerce,-7287.0,Shipping
2026-03-11,META ADS,-3311.0,Advertising
2026-03-11,Shopify Payout,25693.0,Revenue
2026-03-12,Shopify Payout,41809.0,Revenue
2026-03-12,META ADS,-5598.0,Advertising
2026-03-13,Payroll - Warehouse Staff,-19064.0,Payroll
2026-03-13,Shopify Payout,46085.05,Revenue
2026-03-13,META ADS,-5832.0,Advertising
2026-03-13,UPS Shipping,-4171.0,Shipping
2026-03-13,Payroll - Operations Team,-14518.0,Payroll
2026-03-13,Payroll - Marketing Team,-17420.0,Payroll
2026-03-13,Payroll - Customer Support,-23273.0,Payroll
2026-03-14,Customer Refund,-948.0,Refunds
2026-03-14,IRS EFTPS TAX PAYMENT,-13399.0,Taxes
2026-03-14,Shopify Payout,31046.0,Revenue
2026-03-14,META ADS,-3200.0,Advertising
2026-03-15,DHL Ecommerce,-2231.0,Shipping
2026-03-15,Customer Refund,-2350.0,Refunds
2026-03-15,Warehouse Lease & Utilities,-21394.0,Warehouse
2026-03-16,Shopify Payout,25634.0,Revenue
2026-03-16,META ADS,-3408.0,Advertising
2026-03-17,Shopify Payout,22259.0,Revenue
2026-03-17,META ADS,-8741.0,Advertising
2026-03-17,Customer Refund,-140.0,Refunds
2026-03-18,Shopify Payout,25796.0,Revenue
2026-03-18,META ADS,-2329.0,Advertising
2026-03-18,FedEx Freight,-7276.0,Shipping
2026-03-19,Shopify Payout,33605.0,Revenue
2026-03-19,META ADS,-5165.0,Advertising
2026-03-19,UPS Shipping,-5327.0,Shipping
2026-03-20,Payroll - Warehouse Staff,-23404.0,Payroll
2026-03-20,Payroll - Customer Support,-20171.0,Payroll
2026-03-20,Payroll - Marketing Team,-16532.0,Payroll
2026-03-20,Payroll - Operations Team,-10268.0,Payroll
2026-03-20,META ADS,-5952.0,Advertising
2026-03-20,Shopify Payout,39590.0,Revenue
2026-03-20,FedEx Freight,-5123.0,Shipping
2026-03-21,Shopify Payout,20647.0,Revenue
2026-03-21,META ADS,-6061.68,Advertising
2026-03-22,Owner Distribution,-54734.0,Owner Draw
2026-03-23,Shopify Payout,62953.85,Revenue
2026-03-23,META ADS,-7563.0,Advertising
2026-03-24,META ADS,-5589.0,Advertising
2026-03-24,Shopify Payout,32796.0,Revenue
2026-03-25,Shopify Payout,31984.0,Revenue
2026-03-25,META ADS,-4288.0,Advertising
2026-03-25,UPS Shipping,-5085.0,Shipping
2026-03-25,Customer Refund,-429.0,Refunds
2026-03-26,Shopify Payout,21164.0,Revenue
2026-03-26,META ADS,-5252.0,Advertising
2026-03-27,Payroll - Customer Support,-20313.0,Payroll
2026-03-27,Payroll - Warehouse Staff,-9342.0,Payroll
2026-03-27,Payroll - Marketing Team,-23505.0,Payroll
2026-03-27,Payroll - Operations Team,-22722.0,Payroll
2026-03-27,Shopify Payout,28801.0,Revenue
2026-03-27,META ADS,-5565.0,Advertising
2026-03-28,Shopify Payout,37674.0,Revenue
2026-03-28,META ADS,-3048.0,Advertising
2026-03-28,FedEx Freight,-6579.0,Shipping
2026-03-28,Customer Refund,-523.0,Refunds
2026-03-28,IRS EFTPS TAX PAYMENT,-34945.0,Taxes
2026-03-29,FedEx Freight,-7447.0,Shipping
2026-03-30,META ADS,-8904.0,Advertising
2026-03-30,Shopify Payout,36381.0,Revenue
2026-03-31,Shopify Payout,39555.0,Revenue
2026-03-31,META ADS,-7784.66,Advertising
2026-04-01,Warehouse Lease & Utilities,-19503.0,Warehouse
2026-04-01,Shopify Payout,23944.0,Revenue
2026-04-01,META ADS,-6839.0,Advertising
2026-04-01,DHL Ecommerce,-7270.0,Shipping
2026-04-02,Klaviyo,-1887.0,Software
2026-04-02,FedEx Freight,-7111.0,Shipping
2026-04-02,Shopify Payout,25049.0,Revenue
2026-04-02,META ADS,-5916.0,Advertising
2026-04-03,Shopify Payout,56039.07,Revenue
2026-04-03,META ADS,-5829.0,Advertising
2026-04-03,Payroll - Operations Team,-12975.0,Payroll
2026-04-03,Payroll - Marketing Team,-12031.0,Payroll
2026-04-03,Payroll - Customer Support,-20868.0,Payroll
2026-04-03,Payroll - Warehouse Staff,-16894.0,Payroll
2026-04-03,Klaviyo,-1812.0,Software
2026-04-04,Customer Refund,-1698.0,Refunds
2026-04-04,Shopify Payout,27281.0,Revenue
2026-04-04,META ADS,-7058.0,Advertising
2026-04-05,FedEx Freight,-2874.0,Shipping
2026-04-05,Gorgias,-855.0,Software
2026-04-06,Shopify Payout,51691.66,Revenue
2026-04-06,META ADS,-5727.0,Advertising
2026-04-06,UPS Shipping,-6964.0,Shipping
2026-04-07,Figma,-49.0,Software
2026-04-07,Customer Refund,-1362.0,Refunds
2026-04-07,Shopify Payout,61857.03,Revenue
2026-04-07,META ADS,-2546.0,Advertising
2026-04-08,Shopify Payout,38976.0,Revenue
2026-04-08,META ADS,-3143.0,Advertising
2026-04-08,Customer Refund,-1964.0,Refunds
2026-04-08,Owner Distribution,-79527.0,Owner Draw
2026-04-09,Shopify Payout,61970.82,Revenue
2026-04-09,META ADS,-4193.0,Advertising
2026-04-09,FedEx Freight,-1844.0,Shipping
2026-04-10,Payroll - Warehouse Staff,-19074.0,Payroll
2026-04-10,Payroll - Customer Support,-21917.0,Payroll
2026-04-10,Payroll - Marketing Team,-20417.0,Payroll
2026-04-10,Shopify Payout,25260.0,Revenue
2026-04-10,Customer Refund,-1511.0,Refunds
2026-04-10,META ADS,-7630.54,Advertising
2026-04-10,Gorgias,-990.0,Software
2026-04-10,Payroll - Operations Team,-14252.0,Payroll
